,X10_22N_H_N_2,X11_22N_H_N_2,X12_22N_H_N_2,X13_22N_H_N_2,X14_22N_H_N_2,X15_22N_H_N_2,X16_22N_H_N_2,X17_22N_H_N_2,X18_22N_H_N_2,X19_22N_H_N_2,X20_22N_H_N_2
Otu1189,0,0,0,0,0,0,0.00924214417744917,0.00184842883548983,0.00184842883548983,0,0
Otu3528,0,0,0,0,0,0,0,0,0.00184842883548983,0,0
Otu2048,0,0,0,0,0,0,0,0,0.00184842883548983,0,0
Otu4010,0,0,0,0,0,0,0,0,0,0.00184842883548983,0
Otu275,0,0,0,0,0,0,0,0,0,0,0.00184842883548983
Otu10983,0,0,0,0,0,0,0.00184842883548983,0,0,0,0
Otu1349,0,0,0,0,0,0,0,0,0.00369685767097967,0.00184842883548983,0
Otu468,0,0.0129390018484288,0,0,0,0,0,0,0,0,0
Otu858,0,0,0,0.00184842883548983,0,0,0,0,0,0,0.00739371534195933
Otu648,0.00184842883548983,0.00184842883548983,0,0,0,0,0,0.00739371534195933,0,0,0
Otu8244,0,0,0.00184842883548983,0,0,0,0,0,0.00184842883548983,0,0
Otu76,0,0,0.0055452865064695,0,0,0,0,0,0,0,0
Otu2943,0,0,0,0,0,0.00184842883548983,0.00924214417744917,0.00369685767097967,0,0,0
Otu2166,0,0.00184842883548983,0,0,0,0,0,0,0,0,0
Otu656,0,0,0,0,0,0,0,0.00184842883548983,0,0,0
Otu2262,0,0,0,0,0,0,0,0,0,0,0.00184842883548983
Otu155,0,0,0,0,0,0,0,0,0.00184842883548983,0,0
Otu10,0.00184842883548983,0,0,0.00184842883548983,0,0.00739371534195933,0.00369685767097967,0.0499075785582255,0.00369685767097967,0.00184842883548983,0.00184842883548983
Otu2049,0.00184842883548983,0,0,0,0,0,0,0,0,0,0
Otu2631,0,0,0,0,0,0,0,0,0,0.00184842883548983,0
Otu2585,0,0,0.0129390018484288,0,0,0,0,0.00184842883548983,0,0,0
Otu1803,0,0,0,0,0,0,0,0.00184842883548983,0,0,0
Otu6070,0,0,0,0,0,0,0.00184842883548983,0,0,0,0
Otu1515,0,0,0,0,0,0,0.00184842883548983,0,0,0.00184842883548983,0
Otu904,0,0,0,0,0,0,0,0.00184842883548983,0,0,0.00924214417744917
Otu2285,0,0,0,0,0,0,0,0,0.00369685767097967,0,0
Otu2680,0,0,0,0,0,0,0,0,0,0,0.00184842883548983
Otu4573,0.00184842883548983,0,0,0,0,0,0,0,0,0,0
Otu4121,0,0,0,0,0,0,0,0,0,0,0.00184842883548983
Otu4595,0,0,0,0,0,0,0,0.00184842883548983,0,0,0
Otu241,0,0,0,0,0,0.00184842883548983,0,0,0,0,0
Otu7518,0,0,0,0.00184842883548983,0,0,0,0,0,0,0
Otu750,0,0,0,0,0,0.00184842883548983,0.00739371534195933,0,0.00369685767097967,0,0
Otu888,0,0,0,0,0,0.00184842883548983,0,0,0,0,0
Otu3472,0,0,0,0,0,0,0,0.00924214417744917,0,0,0
Otu2870,0,0,0,0,0,0,0,0,0,0.00369685767097967,0
Otu9305,0,0,0.00184842883548983,0,0,0,0,0,0,0.0055452865064695,0.00369685767097967
Otu3950,0,0,0,0,0,0,0,0.00184842883548983,0,0,0
Otu2820,0,0,0,0,0,0.00184842883548983,0,0,0,0,0.00184842883548983
Otu1506,0,0,0.00184842883548983,0,0,0,0,0,0,0,0
Otu4965,0.00184842883548983,0,0,0,0,0,0,0,0.00184842883548983,0,0
Otu1829,0.022181146025878,0,0,0,0,0,0,0,0.00184842883548983,0,0
Otu10278,0,0,0,0,0,0,0.00184842883548983,0,0,0,0
Otu70,0,0,0,0,0,0,0,0.00184842883548983,0,0,0.00369685767097967
Otu2025,0,0,0,0,0,0,0,0,0.00184842883548983,0,0
Otu1346,0,0,0.0055452865064695,0.00184842883548983,0,0,0,0,0,0.00369685767097967,0.00184842883548983
Otu6813,0,0,0,0,0,0,0,0,0,0.00184842883548983,0
Otu3241,0.00184842883548983,0,0,0,0,0,0,0,0,0,0.00184842883548983
Otu2782,0,0,0.00184842883548983,0,0,0,0.00184842883548983,0,0,0,0
Otu509,0,0,0,0.00369685767097967,0,0,0,0,0,0.00739371534195933,0.00184842883548983
Otu511,0,0,0,0.00184842883548983,0,0,0,0,0,0,0
Otu812,0,0,0,0,0,0,0,0,0.00184842883548983,0,0
Otu2564,0,0,0,0,0,0,0,0.00184842883548983,0,0,0
Otu1235,0,0,0,0,0,0,0,0,0,0,0.00369685767097967
Otu15,0.00924214417744917,0,0.00369685767097967,0.0850277264325323,0.00184842883548983,0.00184842883548983,0.0351201478743068,0.0702402957486137,0.0129390018484288,0.0295748613678373,0.011090573012939
Otu1634,0,0,0,0,0,0,0,0,0,0.00369685767097967,0
Otu1133,0,0,0.00184842883548983,0,0,0,0,0,0,0,0
Otu3069,0,0,0.00184842883548983,0,0,0,0,0,0,0,0
Otu1315,0,0,0,0.00369685767097967,0,0,0,0,0,0,0
Otu344,0,0,0,0,0,0,0,0.00184842883548983,0,0,0.00739371534195933
Otu5508,0,0,0,0,0,0,0,0,0,0.00184842883548983,0
Otu2074,0,0.00184842883548983,0,0,0,0,0,0,0.00184842883548983,0,0
Otu1469,0,0,0,0,0,0,0,0,0.00184842883548983,0,0
Otu3646,0,0,0,0,0,0,0.0055452865064695,0,0,0,0
Otu2105,0,0,0,0,0,0,0,0,0.00184842883548983,0,0
Otu668,0,0,0,0,0,0,0,0,0,0,0.00184842883548983
Otu4624,0,0,0,0,0,0,0,0,0.00184842883548983,0,0
Otu3919,0,0,0,0.00184842883548983,0,0,0,0.00184842883548983,0,0,0
Otu2764,0,0,0.00184842883548983,0,0,0,0,0,0,0,0
Otu1651,0,0,0,0,0,0,0,0.00184842883548983,0,0,0
Otu9857,0.00184842883548983,0,0,0,0,0,0,0,0,0,0
Otu1401,0,0,0.0055452865064695,0,0,0,0,0,0,0.00184842883548983,0
Otu2954,0,0,0,0,0,0,0,0,0,0.00184842883548983,0
Otu2786,0,0,0,0,0,0,0,0,0,0.00369685767097967,0
Otu4855,0,0.00184842883548983,0,0,0,0,0,0,0,0,0
Otu2243,0,0,0,0.00184842883548983,0,0,0,0.00184842883548983,0,0.00184842883548983,0
Otu5662,0.00184842883548983,0,0,0,0,0,0,0,0,0,0
Otu887,0,0,0,0,0,0,0,0,0,0,0.00184842883548983
Otu4131,0,0,0,0,0.00184842883548983,0,0,0,0.00184842883548983,0,0
Otu6439,0,0,0.00184842883548983,0,0,0,0,0,0,0,0
Otu5020,0,0.00184842883548983,0,0,0,0,0.00369685767097967,0,0,0,0
Otu4787,0,0,0,0.00184842883548983,0,0,0,0,0,0,0
Otu6192,0,0,0,0.00184842883548983,0,0,0,0,0,0,0
Otu2896,0,0,0,0,0,0,0,0,0.00184842883548983,0,0
Otu4274,0,0,0,0,0,0,0,0,0.00184842883548983,0,0
Otu2937,0,0,0,0,0,0,0.00184842883548983,0,0,0.00184842883548983,0
Otu1421,0,0,0,0,0,0,0,0,0,0,0.00184842883548983
Otu266,0,0,0,0.00369685767097967,0,0,0,0,0,0,0
Otu653,0,0,0,0,0,0,0,0.00184842883548983,0.00369685767097967,0.00184842883548983,0.00369685767097967
Otu4177,0.00184842883548983,0,0,0,0,0,0,0,0,0,0
Otu2087,0,0,0,0,0,0,0,0,0,0,0.00184842883548983
Otu5237,0,0,0,0,0,0,0.00184842883548983,0,0,0,0
Otu3378,0,0,0,0.00184842883548983,0,0,0,0,0,0,0
Otu6669,0,0,0,0,0,0,0,0,0,0,0.00184842883548983
Otu2417,0,0,0,0,0,0,0,0.00369685767097967,0.00184842883548983,0,0.00184842883548983
Otu2592,0,0,0,0,0,0,0.00184842883548983,0,0,0,0
Otu1105,0,0,0,0,0,0,0,0,0,0.00369685767097967,0.00184842883548983
Otu585,0,0,0,0,0,0,0.00184842883548983,0,0,0,0
Otu2429,0,0,0,0,0,0,0,0,0.00184842883548983,0,0
Otu8476,0.0055452865064695,0,0,0,0,0,0,0,0,0,0
Otu14677,0.00369685767097967,0,0,0,0,0,0,0,0,0,0
Otu4510,0,0,0.011090573012939,0.00184842883548983,0,0,0.0055452865064695,0,0,0.00369685767097967,0.00369685767097967
Otu11781,0.00184842883548983,0,0,0,0,0,0,0,0,0,0
Otu2711,0,0,0,0.00184842883548983,0,0,0,0,0,0,0
Otu6506,0,0,0,0,0,0,0.00184842883548983,0,0,0,0
Otu1849,0,0,0,0,0.0609981515711645,0,0,0,0,0.00184842883548983,0
Otu1739,0,0,0,0,0,0,0,0,0.00184842883548983,0,0
Otu5193,0,0,0,0,0,0,0,0,0.00184842883548983,0,0
Otu5286,0,0,0,0,0,0,0,0.00184842883548983,0,0,0
Otu13429,0,0,0,0,0,0,0,0,0.00184842883548983,0,0
Otu1877,0,0,0,0,0,0,0,0,0,0,0.00369685767097967
