,X10_5S_H_C_0,X11_5S_H_C_0,X12_5S_H_C_0,X13_5S_H_C_0,X14_5S_H_C_0,X15_5S_H_C_0,X16_5S_H_C_0,X17_5S_H_C_0,X18_5S_H_C_0,X19_5S_H_C_0,X20_5S_H_C_0
Otu1061,0,0.00093984962406015,0.00093984962406015,0.00093984962406015,0,0,0,0,0.00093984962406015,0,0
Otu3373,0,0,0,0,0,0,0,0.00093984962406015,0,0,0
Otu4208,0,0,0,0,0,0,0,0.00093984962406015,0,0,0
Otu1808,0,0,0,0,0,0,0,0,0,0.00093984962406015,0.00093984962406015
Otu2898,0,0,0.00093984962406015,0,0,0,0,0,0,0,0
Otu3534,0,0,0,0,0,0,0,0.00093984962406015,0,0,0
Otu1181,0,0,0,0,0,0,0,0,0.00093984962406015,0,0
Otu660,0,0,0,0,0,0.00093984962406015,0.0018796992481203,0,0,0,0
Otu4155,0,0,0,0,0,0,0.00093984962406015,0,0,0,0
Otu2697,0,0,0,0,0.00093984962406015,0,0,0,0,0,0
Otu2750,0,0,0,0.00093984962406015,0,0,0,0,0,0,0
Otu3393,0,0,0,0.0018796992481203,0,0,0,0.00093984962406015,0,0.0018796992481203,0
Otu1599,0,0,0,0,0,0,0.00093984962406015,0,0.0018796992481203,0,0
Otu5232,0,0,0,0,0,0,0,0.00093984962406015,0,0,0
Otu2278,0,0.00093984962406015,0,0.0018796992481203,0.00093984962406015,0,0,0.00093984962406015,0.0018796992481203,0,0
Otu12065,0,0,0,0,0,0,0,0,0.00093984962406015,0,0
Otu4199,0,0,0,0,0,0,0,0,0,0,0.00469924812030075
Otu3502,0,0,0,0,0,0,0,0.0018796992481203,0,0.00093984962406015,0
Otu12591,0,0,0,0.00093984962406015,0,0,0,0,0.00093984962406015,0,0
Otu3413,0,0,0,0,0,0,0,0,0.00093984962406015,0,0
Otu1365,0,0,0.00093984962406015,0,0.00093984962406015,0,0,0.00093984962406015,0,0,0.0056390977443609
